YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_PAR_TOT,T2M,WS10M,WD10M,Updated_T_C,Power_Output_kW
2022,1,14,10,634.28,276.07,21.42,4.42,58.5,35.5248015,285189.2265732665
2022,1,14,11,734.85,320.17,23.27,4.39,51.2,39.6250053125,323559.4357578005
2022,1,14,12,759.9,330.4,24.38,4.03,44.4,41.463501875,331413.51651034824
2022,1,14,13,713.22,309.98,25.01,3.83,35.4,41.133229625,311590.50069698587
2022,1,14,14,597.75,258.7,25.14,3.89,22.8,38.6304703125,264544.66081606306
2022,1,14,15,423.77,181.27,24.6,4.32,15.2,34.050071,191958.83735428256
2022,1,14,16,208.35,87.12,22.96,3.97,11.8,27.651781562500002,97408.29088098541
2022,1,14,17,26.1,10.45,17.88,3.39,7.8,18.477200625,12746.628839564235
2022,1,14,18,0.0,0.0,15.99,3.8,10.0,15.99,0.0
2022,1,14,19,0.0,0.0,15.3,4.04,13.2,15.3,0.0
2022,1,14,20,0.0,0.0,14.67,4.25,17.7,14.67,0.0
2022,1,14,21,0.0,0.0,13.94,4.3,23.4,13.94,0.0
2022,1,14,22,0.0,0.0,13.21,4.39,27.1,13.21,0.0
2022,1,14,23,0.0,0.0,12.57,4.59,30.5,12.57,0.0
2022,1,15,0,0.0,0.0,11.88,4.65,36.0,11.88,0.0
2022,1,15,1,0.0,0.0,11.08,4.45,42.5,11.08,0.0
